time from scenario start,umv response duration ms
00:04:22.65,1501
00:04:22.71,1747
00:04:22.77,1501
00:04:22.77,1501
00:04:22.82,1502
00:04:22.82,1501
00:04:22.86,1724
00:04:22.97,1733
00:04:23.02,1502
00:04:23.03,1502
00:04:23.03,1501
00:04:23.11,1733
00:04:23.18,1501
00:04:23.19,1501
00:04:23.22,1716
00:04:23.37,1700
00:04:23.39,1502
00:04:23.46,1501
00:04:23.47,1639
00:04:23.62,1748
00:04:23.67,1501
00:04:23.73,1501
00:04:23.73,1659
00:04:23.75,1501
00:04:23.84,1501
00:04:23.88,1722
00:04:23.92,1502
00:04:23.98,1501
00:04:23.98,1753
00:04:24.01,1502
00:04:24.03,1501
00:04:24.04,1501
00:04:24.09,1501
00:04:24.10,1502
00:04:24.13,1725
00:04:24.21,1501
00:04:24.23,1737
00:04:24.39,1682
00:04:24.49,1487
00:04:24.57,1501
00:04:24.64,1501
00:04:24.64,1635
00:04:24.74,1733
00:04:24.81,1502
00:04:24.89,1660
00:04:24.99,1704
00:04:25.12,1502
00:04:25.15,1709
00:04:25.25,1669
00:04:25.40,1627
00:04:25.50,1504
00:04:25.54,1501
00:04:25.65,1501
00:04:25.66,1659
00:04:25.69,1503
00:04:25.72,1502
00:04:25.73,1502
00:04:25.75,1502
00:04:25.75,1502
00:04:25.75,1744
00:04:25.80,1501
00:04:25.83,1501
00:04:25.88,1502
00:04:25.89,1501
00:04:25.91,1754
00:04:26.00,1502
00:04:26.01,1712
00:04:26.16,1743
00:04:26.26,1728
00:04:26.29,1501
00:04:26.39,1502
00:04:26.42,1675
00:04:26.51,1501
00:04:26.51,1743
00:04:26.62,1501
00:04:26.65,1501
00:04:26.67,1750
00:04:26.68,1501
00:04:26.73,1501
00:04:26.77,1701
00:04:26.79,1501
00:04:26.80,1501
00:04:26.83,1501
00:04:26.85,1501
00:04:26.86,1502
00:04:26.89,1501
00:04:26.89,1501
00:04:26.92,1752
00:04:27.02,1748
00:04:27.08,1501
00:04:27.14,1501
00:04:27.15,1501
00:04:27.16,1501
00:04:27.18,1676
00:04:27.26,1502
00:04:27.27,1706
00:04:27.29,1502
00:04:27.29,1501
00:04:27.32,1502
00:04:27.41,1501
00:04:27.43,1744
00:04:27.53,1747
00:04:27.68,1501
00:04:27.68,1752
00:04:27.78,1600
00:04:27.92,1501
00:04:27.94,1697
00:04:28.03,1677
00:04:28.05,1501
00:04:28.08,1502
00:04:28.18,1501
00:04:28.19,1699
00:04:28.29,1743
00:04:28.43,1502
00:04:28.43,1502
00:04:28.44,1557
00:04:28.54,1631
00:04:28.60,1502
00:04:28.60,1501
00:04:28.69,1627
00:04:28.70,1502
00:04:28.76,1502
00:04:28.79,1719
00:04:28.87,1501
00:04:28.91,1501
00:04:28.95,1754
00:04:28.97,1501
00:04:28.98,1501
00:04:29.00,1501
00:04:29.00,1501
00:04:29.04,1502
00:04:29.06,1753
00:04:29.10,1501
00:04:29.11,1501
00:04:29.14,1502
00:04:29.21,1502
00:04:29.21,1763
00:04:29.24,1502
00:04:29.24,1501
00:04:29.31,1743
00:04:29.47,1746
00:04:29.56,1501
00:04:29.57,1731
00:04:29.64,1501
00:04:29.72,1664
00:04:29.82,1691
00:04:29.97,1448
00:04:30.07,1507
00:04:30.11,1501
00:04:30.13,1501
00:04:30.15,1501
00:04:30.18,1501
00:04:30.23,1656
00:04:30.27,1502
00:04:30.31,1502
00:04:30.32,1502
00:04:30.33,1738
00:04:30.34,1501
00:04:30.37,1502
00:04:30.46,1501
00:04:30.46,1501
00:04:30.48,1741
00:04:30.52,1501
00:04:30.53,1502
00:04:30.55,1501
